dt;userid;meal_id;event
2013-01-05;9;38;bought
2013-01-05;21;26;bought
2013-01-05;22;28;like
2013-01-05;25;41;bought
2013-01-05;26;33;share
2013-01-05;29;29;like
2013-01-05;31;52;like
2013-01-05;31;38;bought
2013-01-05;32;57;share
2013-01-05;32;25;like
2013-01-05;33;58;share
2013-01-05;33;41;like
2013-01-05;33;33;bought
2013-01-05;35;49;like
2013-01-05;38;31;bought
2013-01-05;39;29;like
2013-01-05;39;57;bought
2013-01-05;52;51;bought
2013-01-05;57;40;like
2013-01-05;61;44;bought
2013-01-05;66;24;share
2013-01-05;67;34;like
2013-01-05;68;53;like
2013-01-05;79;54;like
2013-01-05;80;32;like
2013-01-05;85;58;like
2013-01-05;86;40;share
2013-01-05;90;34;like
2013-01-05;90;42;bought
2013-01-05;92;57;bought
2013-01-05;104;44;share
2013-01-06;2;44;share
2013-01-06;2;37;bought
2013-01-06;3;49;share
2013-01-06;10;38;bought
2013-01-06;15;46;bought
2013-01-06;21;48;like
2013-01-06;25;36;like
2013-01-06;28;60;like
2013-01-06;28;46;bought
2013-01-06;31;57;share
2013-01-06;32;43;share
2013-01-06;33;60;share
2013-01-06;33;44;like
2013-01-06;45;45;bought
2013-01-06;48;54;bought
2013-01-06;58;66;like
2013-01-06;63;58;like
2013-01-06;63;34;bought
2013-01-06;65;61;like
2013-01-06;65;46;bought
2013-01-06;68;38;share
2013-01-06;70;59;share
2013-01-06;74;63;share
2013-01-06;75;54;share
2013-01-06;79;48;like
2013-01-06;83;39;like
2013-01-06;85;56;share
2013-01-06;86;35;share
2013-01-06;90;53;like
2013-01-06;92;36;share
2013-01-06;93;66;bought
2013-01-06;95;53;like
2013-01-06;100;33;share
2013-01-06;105;59;share
2013-01-06;105;33;like
2013-01-06;107;66;bought
2013-01-06;108;47;share
2013-01-06;112;51;like
2013-01-06;112;50;bought
2013-01-06;116;53;like
2013-01-06;120;58;share
2013-01-07;15;47;like
2013-01-07;18;44;share
2013-01-07;20;48;share
2013-01-07;21;55;share
2013-01-07;21;45;like
2013-01-07;28;41;share
2013-01-07;29;59;like
2013-01-07;31;36;share
2013-01-07;32;35;share
2013-01-07;33;66;like
2013-01-07;35;59;like
2013-01-07;38;55;bought
2013-01-07;39;46;share
2013-01-07;46;60;share
2013-01-07;46;66;like
2013-01-07;47;55;like
2013-01-07;48;52;like
2013-01-07;49;67;like
2013-01-07;50;38;like
2013-01-07;52;62;share
2013-01-07;58;57;share
2013-01-07;63;49;like
2013-01-07;72;49;like
2013-01-07;83;63;share
2013-01-07;83;37;like
2013-01-07;90;56;like
2013-01-07;90;52;bought
2013-01-07;92;43;like
2013-01-07;104;43;share
2013-01-07;104;37;like
2013-01-07;107;51;like
2013-01-07;107;53;bought
2013-01-07;113;43;bought
2013-01-07;114;46;like
2013-01-07;116;68;like
2013-01-07;116;38;bought
2013-01-07;127;48;like
2013-01-07;129;60;share
2013-01-07;130;41;share
2013-01-07;131;58;share
2013-01-07;134;65;like
2013-01-07;137;48;like
2013-01-07;137;41;bought
2013-01-07;138;68;share
2013-01-08;18;58;share
2013-01-08;21;68;share
2013-01-08;21;53;like
2013-01-08;26;59;share
2013-01-08;26;60;like
2013-01-08;27;59;share
2013-01-08;29;42;like
2013-01-08;31;54;bought
2013-01-08;50;51;bought
2013-01-08;51;63;share
2013-01-08;52;56;bought
2013-01-08;56;42;like
2013-01-08;57;70;like
2013-01-08;58;44;share
2013-01-08;58;45;like
2013-01-08;62;63;share
2013-01-08;62;71;like
2013-01-08;72;63;like
2013-01-08;74;42;like
2013-01-08;75;53;share
2013-01-08;75;71;bought
2013-01-08;85;47;like
2013-01-08;86;59;share
2013-01-08;93;61;like
2013-01-08;98;63;share
2013-01-08;104;64;share
2013-01-08;104;52;like
2013-01-08;112;47;share
2013-01-08;112;63;like
2013-01-08;114;59;share
2013-01-08;114;41;like
2013-01-08;114;43;bought
2013-01-08;119;65;share
2013-01-08;129;63;share
2013-01-08;137;46;bought
2013-01-08;140;63;bought
2013-01-08;142;55;share
2013-01-08;145;63;like
2013-01-08;162;72;like
2013-01-09;3;59;share
2013-01-09;7;73;share
2013-01-09;10;72;share
2013-01-09;10;67;bought
2013-01-09;21;63;like
2013-01-09;25;48;like
2013-01-09;26;69;share
2013-01-09;27;79;share
2013-01-09;27;52;like
2013-01-09;30;45;like
2013-01-09;35;72;share
2013-01-09;42;47;bought
2013-01-09;45;75;like
2013-01-09;56;49;share
2013-01-09;56;46;like
2013-01-09;61;78;like
2013-01-09;61;58;bought
2013-01-09;62;57;like
2013-01-09;74;58;like
2013-01-09;75;68;share
2013-01-09;77;69;like
2013-01-09;80;72;like
2013-01-09;85;59;share
2013-01-09;86;63;share
2013-01-09;90;76;like
2013-01-09;90;61;bought
2013-01-09;92;47;like
2013-01-09;93;47;share
2013-01-09;95;64;like
2013-01-09;100;64;share
2013-01-09;104;55;share
2013-01-09;104;74;like
2013-01-09;110;73;share
2013-01-09;113;71;bought
2013-01-09;120;71;share
2013-01-09;120;55;bought
2013-01-09;129;45;bought
2013-01-09;133;62;share
2013-01-09;140;61;share
2013-01-09;147;56;share
2013-01-09;149;73;share
2013-01-09;153;49;like
2013-01-09;155;69;share
2013-01-09;155;50;like
2013-01-09;159;47;share
2013-01-09;164;55;share
2013-01-09;170;56;like
2013-01-09;171;53;share
2013-01-09;172;71;bought
2013-01-09;174;62;bought
2013-01-09;180;58;bought
2013-01-09;183;49;bought
2013-01-10;4;74;like
2013-01-10;5;51;share
2013-01-10;6;78;like
2013-01-10;7;76;share
2013-01-10;11;72;share
2013-01-10;21;60;share
2013-01-10;21;62;like
2013-01-10;21;59;bought
2013-01-10;24;74;share
2013-01-10;26;80;like
2013-01-10;28;55;share
2013-01-10;29;80;bought
2013-01-10;31;82;bought
2013-01-10;35;69;like
2013-01-10;36;66;like
2013-01-10;36;78;bought
2013-01-10;43;70;like
2013-01-10;50;86;like
2013-01-10;51;74;like
2013-01-10;58;81;share
2013-01-10;62;51;share
2013-01-10;67;51;share
2013-01-10;71;69;share
2013-01-10;72;67;share
2013-01-10;74;57;share
2013-01-10;74;86;like
2013-01-10;75;61;share
2013-01-10;84;82;like
2013-01-10;85;51;share
2013-01-10;85;53;like
2013-01-10;86;64;share
2013-01-10;88;63;like
2013-01-10;89;62;share
2013-01-10;90;67;like
2013-01-10;92;59;like
2013-01-10;97;68;like
2013-01-10;100;68;bought
2013-01-10;103;73;share
2013-01-10;103;51;like
2013-01-10;104;77;like
2013-01-10;110;68;share
2013-01-10;112;54;share
2013-01-10;112;85;like
2013-01-10;115;83;share
2013-01-10;127;63;share
2013-01-10;127;74;like
2013-01-10;127;84;bought
2013-01-10;128;62;share
2013-01-10;128;79;like
2013-01-10;135;77;share
2013-01-10;135;78;like
2013-01-10;135;52;bought
2013-01-10;141;84;bought
2013-01-10;142;75;share
2013-01-10;146;53;like
2013-01-10;156;84;share
2013-01-10;159;83;share
2013-01-10;162;84;like
2013-01-10;162;55;bought
2013-01-10;165;69;share
2013-01-10;170;80;like
2013-01-10;171;51;bought
2013-01-10;176;71;share
2013-01-10;178;72;like
2013-01-10;187;86;bought
2013-01-10;191;69;share
2013-01-10;192;68;like
2013-01-10;199;57;share
2013-01-10;200;75;share
2013-01-11;1;69;share
2013-01-11;8;85;share
2013-01-11;8;89;bought
2013-01-11;9;55;bought
2013-01-11;10;79;share
2013-01-11;11;68;share
2013-01-11;19;55;share
2013-01-11;21;83;share
2013-01-11;22;89;like
2013-01-11;28;87;share
2013-01-11;28;57;bought
2013-01-11;30;82;share
2013-01-11;30;75;bought
2013-01-11;31;91;share
2013-01-11;31;81;bought
2013-01-11;32;78;like
2013-01-11;32;93;bought
2013-01-11;47;74;share
2013-01-11;50;66;like
2013-01-11;51;89;share
2013-01-11;52;70;share
2013-01-11;58;69;bought
2013-01-11;61;75;share
2013-01-11;63;83;like
2013-01-11;64;68;share
2013-01-11;67;73;like
2013-01-11;68;93;like
2013-01-11;72;71;share
2013-01-11;72;88;like
2013-01-11;75;90;share
2013-01-11;79;90;bought
2013-01-11;80;73;like
2013-01-11;83;70;like
2013-01-11;83;97;bought
2013-01-11;85;60;share
2013-01-11;85;87;like
2013-01-11;90;95;bought
2013-01-11;95;78;like
2013-01-11;104;87;like
2013-01-11;112;85;share
2013-01-11;129;95;bought
2013-01-11;130;97;like
2013-01-11;130;66;bought
2013-01-11;131;57;share
2013-01-11;134;77;like
2013-01-11;136;71;bought
2013-01-11;138;72;like
2013-01-11;140;90;share
2013-01-11;140;86;like
2013-01-11;141;85;like
2013-01-11;142;87;share
2013-01-11;142;64;bought
2013-01-11;145;74;like
2013-01-11;145;60;bought
2013-01-11;147;69;share
2013-01-11;147;73;like
2013-01-11;153;79;like
2013-01-11;153;59;bought
2013-01-11;155;87;like
2013-01-11;162;85;like
2013-01-11;168;73;like
2013-01-11;173;74;share
2013-01-11;174;63;share
2013-01-11;174;84;bought
2013-01-11;178;84;like
2013-01-11;179;81;like
2013-01-11;179;94;bought
2013-01-11;181;57;share
2013-01-11;183;74;share
2013-01-11;183;95;like
2013-01-11;188;71;like
2013-01-11;188;54;bought
2013-01-11;201;89;bought
2013-01-11;215;54;bought
2013-01-12;3;104;bought
2013-01-12;6;79;like
2013-01-12;8;102;share
2013-01-12;8;107;bought
2013-01-12;11;89;share
2013-01-12;17;89;like
2013-01-12;21;73;bought
2013-01-12;22;102;share
2013-01-12;26;104;share
2013-01-12;27;77;like
2013-01-12;28;87;share
2013-01-12;28;69;like
2013-01-12;28;74;bought
2013-01-12;33;86;share
2013-01-12;33;87;like
2013-01-12;40;66;like
2013-01-12;42;101;share
2013-01-12;48;71;like
2013-01-12;52;76;share
2013-01-12;57;95;share
2013-01-12;57;80;like
2013-01-12;58;102;share
2013-01-12;58;107;like
2013-01-12;64;75;share
2013-01-12;68;105;share
2013-01-12;68;81;like
2013-01-12;70;103;share
2013-01-12;75;89;share
2013-01-12;76;99;like
2013-01-12;77;91;like
2013-01-12;79;91;share
2013-01-12;87;98;share
2013-01-12;90;106;share
2013-01-12;92;100;like
2013-01-12;93;72;share
2013-01-12;100;78;share
2013-01-12;104;84;share
2013-01-12;104;97;bought
2013-01-12;110;82;share
2013-01-12;116;61;share
2013-01-12;122;84;share
2013-01-12;122;105;bought
2013-01-12;123;60;like
2013-01-12;128;96;like
2013-01-12;130;103;share
2013-01-12;134;97;like
2013-01-12;135;82;share
2013-01-12;140;80;share
2013-01-12;140;78;like
2013-01-12;140;76;bought
2013-01-12;142;107;share
2013-01-12;144;90;like
2013-01-12;144;80;bought
2013-01-12;145;92;bought
2013-01-12;152;97;like
2013-01-12;153;94;like
2013-01-12;155;61;share
2013-01-12;159;96;share
2013-01-12;161;85;share
2013-01-12;162;104;share
2013-01-12;164;95;share
2013-01-12;171;91;share
2013-01-12;171;69;like
2013-01-12;172;71;like
2013-01-12;187;68;bought
2013-01-12;193;94;share
2013-01-12;200;87;bought
2013-01-12;203;89;like
2013-01-12;206;101;like
2013-01-12;212;72;like
2013-01-12;215;76;like
2013-01-12;217;85;share
2013-01-12;217;98;like
2013-01-12;218;81;bought
2013-01-12;219;71;share
2013-01-12;219;62;like
2013-01-12;223;87;share
2013-01-12;223;98;bought
2013-01-13;1;86;share
2013-01-13;4;95;like
2013-01-13;7;72;share
2013-01-13;11;84;share
2013-01-13;11;82;bought
2013-01-13;18;85;share
2013-01-13;22;69;share
2013-01-13;25;77;share
2013-01-13;27;74;share
2013-01-13;27;84;like
2013-01-13;33;83;share
2013-01-13;35;77;like
2013-01-13;37;91;like
2013-01-13;39;106;share
2013-01-13;41;82;like
2013-01-13;50;93;bought
2013-01-13;54;100;share
2013-01-13;57;82;like
2013-01-13;58;98;like
2013-01-13;61;77;bought
2013-01-13;69;71;bought
2013-01-13;71;94;share
2013-01-13;71;77;like
2013-01-13;74;75;share
2013-01-13;75;104;share
2013-01-13;75;74;like
2013-01-13;77;83;bought
2013-01-13;83;74;bought
2013-01-13;84;78;share
2013-01-13;85;81;share
2013-01-13;88;91;bought
2013-01-13;95;74;like
2013-01-13;101;96;like
2013-01-13;101;107;bought
2013-01-13;103;94;like
2013-01-13;107;80;like
2013-01-13;112;80;share
2013-01-13;114;74;share
2013-01-13;114;93;like
2013-01-13;116;88;bought
2013-01-13;120;94;share
2013-01-13;123;96;bought
2013-01-13;124;74;bought
2013-01-13;129;93;share
2013-01-13;129;104;bought
2013-01-13;130;86;share
2013-01-13;137;80;like
2013-01-13;138;102;like
2013-01-13;139;96;bought
2013-01-13;140;83;share
2013-01-13;141;98;bought
2013-01-13;145;70;like
2013-01-13;145;68;bought
2013-01-13;147;98;share
2013-01-13;147;88;like
2013-01-13;152;78;like
2013-01-13;164;76;share
2013-01-13;170;92;like
2013-01-13;172;105;bought
2013-01-13;178;99;share
2013-01-13;178;85;like
2013-01-13;179;68;like
2013-01-13;179;100;bought
2013-01-13;180;98;like
2013-01-13;186;101;like
2013-01-13;191;84;share
2013-01-13;192;72;like
2013-01-13;199;107;share
2013-01-13;206;105;like
2013-01-13;208;78;share
2013-01-13;210;108;like
2013-01-13;213;100;share
2013-01-13;213;83;like
2013-01-13;213;76;bought
2013-01-13;231;103;like
2013-01-13;234;71;like
2013-01-13;236;101;share
2013-01-13;242;81;like
2013-01-13;249;103;share
2013-01-14;5;110;share
2013-01-14;16;95;like
2013-01-14;18;75;bought
2013-01-14;21;106;share
2013-01-14;22;102;share
2013-01-14;26;97;share
2013-01-14;26;99;like
2013-01-14;28;100;share
2013-01-14;31;104;bought
2013-01-14;32;98;share
2013-01-14;33;77;like
2013-01-14;35;84;share
2013-01-14;35;74;like
2013-01-14;36;108;share
2013-01-14;36;75;like
2013-01-14;58;99;like
2013-01-14;63;111;bought
2013-01-14;65;93;share
2013-01-14;65;91;like
2013-01-14;68;71;share
2013-01-14;69;74;share
2013-01-14;74;110;share
2013-01-14;75;77;like
2013-01-14;75;98;bought
2013-01-14;80;90;share
2013-01-14;83;101;share
2013-01-14;83;111;like
2013-01-14;85;77;share
2013-01-14;93;94;bought
2013-01-14;94;75;share
2013-01-14;100;74;share
2013-01-14;104;73;like
2013-01-14;107;106;share
2013-01-14;107;101;like
2013-01-14;107;90;bought
2013-01-14;108;76;bought
2013-01-14;112;80;share
2013-01-14;112;106;like
2013-01-14;112;86;bought
2013-01-14;114;78;bought
2013-01-14;115;87;bought
2013-01-14;116;69;share
2013-01-14;119;109;like
2013-01-14;120;87;share
2013-01-14;129;99;bought
2013-01-14;130;97;bought
2013-01-14;138;103;bought
2013-01-14;140;69;share
2013-01-14;140;111;like
2013-01-14;140;104;bought
2013-01-14;144;77;like
2013-01-14;145;91;share
2013-01-14;145;90;like
2013-01-14;145;103;bought
2013-01-14;146;110;share
2013-01-14;146;90;like
2013-01-14;147;97;share
2013-01-14;147;69;like
2013-01-14;148;83;share
2013-01-14;155;69;like
2013-01-14;157;85;share
2013-01-14;159;79;share
2013-01-14;162;110;share
2013-01-14;165;75;like
2013-01-14;168;99;like
2013-01-14;171;77;like
2013-01-14;173;87;like
2013-01-14;181;80;like
2013-01-14;191;95;share
2013-01-14;191;69;like
2013-01-14;194;82;like
2013-01-14;195;103;share
2013-01-14;195;71;like
2013-01-14;200;92;share
2013-01-14;200;70;like
2013-01-14;200;76;bought
2013-01-14;203;85;like
2013-01-14;206;98;bought
2013-01-14;211;100;like
2013-01-14;213;86;share
2013-01-14;213;70;bought
2013-01-14;215;104;bought
2013-01-14;217;99;share
2013-01-14;217;84;bought
2013-01-14;221;74;bought
2013-01-14;223;85;share
2013-01-14;223;83;like
2013-01-14;223;105;bought
2013-01-14;230;101;share
2013-01-14;231;70;like
2013-01-14;233;89;share
2013-01-14;236;85;share
2013-01-14;241;103;like
2013-01-14;242;111;bought
2013-01-14;248;99;like
2013-01-14;249;106;share
2013-01-14;249;87;like
2013-01-14;249;72;bought
2013-01-14;254;95;share
2013-01-14;258;109;share
2013-01-14;258;93;like
2013-01-14;258;81;bought
2013-01-15;1;113;bought
2013-01-15;3;96;share
2013-01-15;4;92;like
2013-01-15;11;104;bought
2013-01-15;21;99;share
2013-01-15;21;78;like
2013-01-15;22;85;share
2013-01-15;22;73;like
2013-01-15;25;103;share
2013-01-15;27;96;share
2013-01-15;28;94;share
2013-01-15;28;95;like
2013-01-15;30;102;like
2013-01-15;30;105;bought
2013-01-15;33;89;like
2013-01-15;40;91;like
2013-01-15;45;81;share
2013-01-15;53;95;share
2013-01-15;59;86;bought
2013-01-15;62;85;like
2013-01-15;67;105;like
2013-01-15;67;101;bought
2013-01-15;70;92;bought
2013-01-15;74;98;share
2013-01-15;75;81;bought
2013-01-15;77;92;like
2013-01-15;77;79;bought
2013-01-15;85;79;share
2013-01-15;86;84;share
2013-01-15;88;98;like
2013-01-15;90;88;bought
2013-01-15;92;81;like
2013-01-15;92;109;bought
2013-01-15;104;111;share
2013-01-15;108;82;share
2013-01-15;112;92;bought
2013-01-15;114;80;like
2013-01-15;116;95;bought
2013-01-15;120;86;bought
2013-01-15;121;113;share
2013-01-15;129;108;bought
2013-01-15;130;83;like
2013-01-15;133;104;share
2013-01-15;133;82;like
2013-01-15;138;103;share
2013-01-15;140;85;share
2013-01-15;143;93;like
2013-01-15;149;102;share
2013-01-15;150;101;share
2013-01-15;155;77;share
2013-01-15;155;78;like
2013-01-15;166;83;like
2013-01-15;166;86;bought
2013-01-15;171;110;share
2013-01-15;171;107;like
2013-01-15;171;98;bought
2013-01-15;173;113;share
2013-01-15;180;94;share
2013-01-15;180;84;like
2013-01-15;184;85;bought
2013-01-15;187;113;bought
2013-01-15;188;110;share
2013-01-15;188;109;bought
2013-01-15;194;74;like
2013-01-15;195;78;share
2013-01-15;195;113;like
2013-01-15;195;101;bought
2013-01-15;197;114;like
2013-01-15;203;88;share
2013-01-15;204;109;share
2013-01-15;211;102;like
2013-01-15;213;93;like
2013-01-15;217;95;like
2013-01-15;218;82;bought
2013-01-15;235;88;share
2013-01-15;239;105;share
2013-01-15;239;101;like
2013-01-15;241;95;like
2013-01-15;245;110;bought
2013-01-15;248;95;share
2013-01-15;259;107;like
2013-01-15;261;85;share
2013-01-15;264;74;share
2013-01-15;266;89;like
2013-01-15;280;77;like
2013-01-16;4;105;like
2013-01-16;7;88;share
2013-01-16;11;87;share
2013-01-16;12;114;like
2013-01-16;17;104;bought
2013-01-16;22;100;bought
2013-01-16;23;115;share
2013-01-16;26;101;share
2013-01-16;28;94;bought
2013-01-16;35;83;like
2013-01-16;35;98;bought
2013-01-16;47;109;bought
2013-01-16;54;82;like
2013-01-16;56;80;like
2013-01-16;58;97;share
2013-01-16;62;108;like
2013-01-16;67;84;share
2013-01-16;67;111;like
2013-01-16;67;108;bought
2013-01-16;69;81;share
2013-01-16;71;93;share
2013-01-16;74;108;share
2013-01-16;74;114;bought
2013-01-16;75;90;like
2013-01-16;84;104;share
2013-01-16;85;109;share
2013-01-16;85;102;like
2013-01-16;85;86;bought
2013-01-16;88;88;like
2013-01-16;90;103;share
2013-01-16;90;101;like
2013-01-16;91;111;share
2013-01-16;93;99;bought
2013-01-16;94;113;share
2013-01-16;100;114;share
2013-01-16;101;85;share
2013-01-16;104;92;like
2013-01-16;107;97;share
2013-01-16;107;95;like
2013-01-16;108;100;share
2013-01-16;110;97;share
2013-01-16;112;106;share
2013-01-16;114;88;share
2013-01-16;118;108;share
2013-01-16;120;92;share
2013-01-16;129;96;share
2013-01-16;141;112;share
2013-01-16;146;114;share
2013-01-16;146;105;like
2013-01-16;149;84;share
2013-01-16;155;104;like
2013-01-16;162;88;like
2013-01-16;164;87;share
2013-01-16;164;118;like
2013-01-16;173;112;like
2013-01-16;183;80;like
2013-01-16;183;117;bought
2013-01-16;184;91;share
2013-01-16;184;89;like
2013-01-16;192;95;share
2013-01-16;192;106;like
2013-01-16;196;108;bought
2013-01-16;199;102;share
2013-01-16;200;83;bought
2013-01-16;202;87;like
2013-01-16;208;84;like
2013-01-16;209;89;share
2013-01-16;209;116;like
2013-01-16;216;89;like
2013-01-16;219;118;like
2013-01-16;230;99;share
2013-01-16;230;104;bought
2013-01-16;241;93;like
2013-01-16;248;103;like
2013-01-16;253;116;bought
2013-01-16;259;95;like
2013-01-16;266;113;like
2013-01-16;269;90;like
2013-01-16;269;106;bought
2013-01-16;274;89;share
2013-01-17;1;94;share
2013-01-17;3;90;like
2013-01-17;4;98;like
2013-01-17;5;106;share
2013-01-17;8;115;share
2013-01-17;8;118;bought
2013-01-17;28;88;share
2013-01-17;29;114;like
2013-01-17;29;95;bought
2013-01-17;33;106;share
2013-01-17;33;92;like
2013-01-17;35;104;share
2013-01-17;35;113;like
2013-01-17;48;114;like
2013-01-17;53;107;share
2013-01-17;53;110;like
2013-01-17;53;121;bought
2013-01-17;79;115;like
2013-01-17;79;121;bought
2013-01-17;83;125;share
2013-01-17;85;120;share
2013-01-17;90;117;like
2013-01-17;90;100;bought
2013-01-17;95;112;share
2013-01-17;95;94;like
2013-01-17;98;117;bought
2013-01-17;100;123;bought
2013-01-17;101;89;like
2013-01-17;104;97;share
2013-01-17;104;90;like
2013-01-17;105;114;like
2013-01-17;107;102;like
2013-01-17;109;107;like
2013-01-17;112;122;share
2013-01-17;112;102;like
2013-01-17;115;122;bought
2013-01-17;120;102;share
2013-01-17;121;96;share
2013-01-17;121;124;like
2013-01-17;133;115;share
2013-01-17;135;121;share
2013-01-17;138;91;like
2013-01-17;143;97;share
2013-01-17;143;102;bought
2013-01-17;144;89;like
2013-01-17;145;95;share
2013-01-17;146;89;share
2013-01-17;146;113;like
2013-01-17;152;95;like
2013-01-17;152;88;bought
2013-01-17;155;103;like
2013-01-17;170;123;like
2013-01-17;170;115;bought
2013-01-17;173;95;share
2013-01-17;174;91;share
2013-01-17;181;115;share
2013-01-17;189;110;bought
2013-01-17;194;96;share
2013-01-17;200;97;like
2013-01-17;203;108;share
2013-01-17;203;113;like
2013-01-17;203;97;bought
2013-01-17;204;90;like
2013-01-17;205;88;like
2013-01-17;209;120;share
2013-01-17;209;102;bought
2013-01-17;210;92;like
2013-01-17;212;106;share
2013-01-17;213;95;share
2013-01-17;213;122;like
2013-01-17;215;98;like
2013-01-17;217;94;bought
2013-01-17;228;91;like
2013-01-17;236;102;share
2013-01-17;237;88;share
2013-01-17;239;122;like
2013-01-17;242;89;share
2013-01-17;257;89;bought
2013-01-17;261;100;bought
2013-01-17;268;95;share
2013-01-17;269;114;share
2013-01-17;269;117;like
2013-01-17;270;117;bought
2013-01-17;274;90;bought
2013-01-17;276;101;share
2013-01-17;276;103;like
2013-01-17;287;119;share
2013-01-17;288;116;share
2013-01-17;293;108;share
2013-01-17;295;120;share
2013-01-17;299;89;share
2013-01-17;300;121;like
2013-01-17;300;112;bought
2013-01-17;302;112;share
2013-01-17;303;125;like
2013-01-17;303;91;bought
2013-01-18;4;115;like
2013-01-18;7;130;bought
2013-01-18;8;129;share
2013-01-18;21;130;share
2013-01-18;21;122;like
2013-01-18;21;115;bought
2013-01-18;22;129;like
2013-01-18;24;109;like
2013-01-18;25;108;share
2013-01-18;26;117;like
2013-01-18;29;106;bought
2013-01-18;31;112;like
2013-01-18;31;114;bought
2013-01-18;32;114;like
2013-01-18;35;130;bought
2013-01-18;36;115;bought
2013-01-18;46;128;share
2013-01-18;46;99;like
2013-01-18;51;99;share
2013-01-18;51;99;like
2013-01-18;58;101;like
2013-01-18;60;114;like
2013-01-18;62;117;share
2013-01-18;63;105;like
2013-01-18;64;125;share
2013-01-18;67;132;share
2013-01-18;67;123;like
2013-01-18;71;101;share
2013-01-18;75;115;share
2013-01-18;80;107;share
2013-01-18;80;125;like
2013-01-18;83;105;share
2013-01-18;85;108;share
2013-01-18;85;128;like
2013-01-18;90;103;like
2013-01-18;90;119;bought
2013-01-18;92;118;share
2013-01-18;93;130;share
2013-01-18;104;128;share
2013-01-18;104;103;like
2013-01-18;107;116;bought
2013-01-18;115;107;share
2013-01-18;115;125;bought
2013-01-18;128;106;share
2013-01-18;128;121;like
2013-01-18;129;123;share
2013-01-18;130;104;share
2013-01-18;133;118;share
2013-01-18;133;116;bought
2013-01-18;135;112;share
2013-01-18;135;132;like
2013-01-18;143;102;share
2013-01-18;145;111;share
2013-01-18;149;102;share
2013-01-18;152;110;like
2013-01-18;153;111;like
2013-01-18;155;130;share
2013-01-18;155;105;like
2013-01-18;166;105;like
2013-01-18;170;127;like
2013-01-18;170;130;bought
2013-01-18;172;129;share
2013-01-18;174;110;share
2013-01-18;179;112;like
2013-01-18;181;127;share
2013-01-18;183;113;share
2013-01-18;187;101;share
2013-01-18;191;121;share
2013-01-18;195;115;share
2013-01-18;195;111;like
2013-01-18;196;98;like
2013-01-18;198;111;share
2013-01-18;199;123;bought
2013-01-18;200;106;bought
2013-01-18;203;120;like
2013-01-18;210;111;share
2013-01-18;211;108;like
2013-01-18;217;103;share
2013-01-18;221;122;like
2013-01-18;228;99;share
2013-01-18;228;118;bought
2013-01-18;231;105;share
2013-01-18;231;131;like
2013-01-18;236;101;share
2013-01-18;241;117;like
2013-01-18;241;103;bought
2013-01-18;242;104;share
2013-01-18;242;109;bought
2013-01-18;247;123;share
2013-01-18;250;99;share
2013-01-18;250;98;like
2013-01-18;254;102;share
2013-01-18;254;128;bought
2013-01-18;256;100;like
2013-01-18;260;99;like
2013-01-18;261;114;share
2013-01-18;266;109;like
2013-01-18;267;116;like
2013-01-18;269;101;share
2013-01-18;269;110;like
2013-01-18;270;106;share
2013-01-18;270;104;like
2013-01-18;278;127;share
2013-01-18;287;116;share
